Name Stem,Post - Pre,Item,Label,Response Values,Construct
badgrade,,What is the worst grade you would still be satisfied with getting in this course?,worst grade still satisfactory,"13=A+, 12=A, 11=A-, 10=B+, 9=B, 8=B-, 7=C+, 6=C, 5=C-, 4=D+, 3=D, 2=D-, 1=F",Grade Expectations
int1,0.26095571095571035,How often do you wonder about the science behind cooking?,wonder about science of cooking,"slider: 1 = Never, 7 = Very often",Interest Value
int4,-0.23402985074626947,How much fun will learning about the biology and chemistry of cooking be?,fun learning science of cooking,"slider: 1=Not at all fun, 7 = Very fun",Interest Value
int3,-0.35405281285878143,How interested are you in the science behind food and cooking?,interested in science of cooking,"slider: 1=Not at all interested, 7 = Very interested",Interest Value
int2,-0.372714552238806,How curious are you to learn about the science behind cooking?,curious about science of cooking,"slider: 1=Not at all curious, 7 = Very curious",Interest Value
iemot5,-0.4923076923076932,To prove my ability by getting a good grade,to prove my ability,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot4,-0.1883916083916075,To improve my GPA by getting a good grade,to improve my GPA,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot1,-0.22109905020352816,To enjoy the fun of learning about the science behind food and cooking,to enjoy fun of learning,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot6,-0.2484848484848481,To avoid lowering my GPA by getting a bad grade,to avoid lowering my GPA,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot3,-0.3542966983265483,To develop new knowledge about the science behind food and cooking,to develop new food science knowledge,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot2,0.28666666666666707,To challenge myself academically,to challenge myself academically,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
iemot7,-0.9836309523809517,To avoid looking incompetent by getting a bad grade,to avoid looking incompetent,"slider: 1=Not at all important, 7 = Very important",Internal/External Motivation
orsh2,0.1438941655359569,how often do you...ignore distractions around you when you study?,ignore distractions around me (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
olsrl1,0.03935706084959811,stay on task when studying on your computer ,stay on task at computer,"slider: 1=Never, 7=All the time",Online Self Regulation
orsh4,-0.2741067390321117,how often do you...keep a record of what your assignments are and when they are due?,keep record of assignments (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
olsrl2,0.2641491841491854,get distracted when studying on your computer ,get distracted at computer,"slider: 1=Never, 7=All the time",Online Self Regulation
olsrl4,0.04017094017094047,find yourself getting distracted by internet browsing ,get distracted by internet at computer,"slider: 1=Never, 7=All the time",Online Self Regulation
orsh5,-0.1820895522388053,how often do you...plan your work in advance so that you can turn in your assignments on time?,plan work in advance (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
orsh6,-0.00892773892773846,how often do you...make sure people around you will help you study and not try to distract you?,people around me help study (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
orsh7,-0.5308294592610721,how often do you...use email and other online tools to ask your classmates and instructors questions?,willing to use email for help (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
olsrl3,-0.0002816180235529764,find yourself getting distracted by social media while studying on your computer ,get distracted by social media at computer,"slider: 1=Never, 7=All the time",Online Self Regulation
orsh1,-0.16635006784260487,how often do you...work in a place where you can read and work on assignments without distractions?,work where there are no distractions (study habits),"slider: 1=Never, 5=All the time",Online Self Regulation
olsrl5,-0.004780783582090109,find yourself getting distracted by your phone while studying on your computer ,get distracted by phone at computer,"slider: 1=Never, 7=All the time",Online Self Regulation
courserank,0.36465892597968086,Please drag and drop your responsibilities during this course in order from most important to least important ,importance rank of course responsibilities,1 to 16,Other Activities Rank
oact1rank,-0.019607843137255276,Please drag and drop your responsibilities during this course in order from most important to least important ,importance rank of other activity 1,1 to 16,Other Activities Rank
oact2hrs,0.8336734693877563,"On average, how many hours per week will you spend on each of these activities in the month of July?",hours per week on other activity 2,0 to 40,Other Activities Time
oact1hrs,2.9714640198511155,"On average, how many hours per week will you spend on each of these activities in the month of July?",hours per week on other activity 1,0 to 40,Other Activities Time
courses_imp,0.28364849833147954,"Compared to other courses you are currently taking, how important is this course?",importance compared to other courses,"4=Most important, 3=Second-most important, 2=Third-most important, 1=Fourth-most important",Other Courses
courses,-1.297213622291022,How many other courses are you taking this summer?,number of other courses taking,"1=0, 2=1, 3=2, 4=3+",Other Courses
courses_int,-0.08342602892102358,"Compared to other courses you are currently taking, how interesting is this course?",interest compared to other courses,"4=Most interesting, 3=Second-most interesting, 2=Third-most interesting, 1=Fourth-most interesting",Other Courses
longitude,2.0628106395223966,longitude of location when completing survey,longitude of location when completing survey,decimal,Qualtrics Embedded Data
latitude,0.5778517082089607,latitude of location when completing survey,latitude of location when completing survey,decimal,Qualtrics Embedded Data
finished,0.0,whether student finished or not,whether student finished or not,"0=no, 1=yes",Qualtrics Embedded Data
duration,4763.582089552238,time taken to finish survey (in seconds),time taken to finish survey (in seconds),integer,Qualtrics Embedded Data
progress,0.0,percent of survey completed,percent of survey completed,0 to 100,Qualtrics Embedded Data
se1,-0.03878335594753457,I’m certain I can master the skills taught in this course,can master skills in this course,"slider: 1=Not true at all, 5 = Very true",Self-Efficacy
se2,-0.0029850746268662576,I'm certain I can figure out how to learn even the most difficult material in this course,can learn even hardest material,"slider: 1=Not true at all, 5 = Very true",Self-Efficacy
se3,-0.22089552238806043,I can do almost all the work in this course if I don't give up,can do almost all work if I try,"slider: 1=Not true at all, 5 = Very true",Self-Efficacy
se4,-0.02388059701492562,"Even if the work in this course is hard, I can learn it","if work is hard, can still learn it","slider: 1=Not true at all, 5 = Very true",Self-Efficacy
se5,-0.10298507462686679,I can do even the hardest work in this course if I try,can do hardest work if I try,"slider: 1=Not true at all, 5 = Very true",Self-Efficacy
util3,-0.03729047072330616,How applicable in everyday life is knowledge of biology and chemistry of cooking?,course applicable in everyday life,"slider: 1=Not at all applicable, 7 = Very applicable",Utility Value
util4,-0.7552927669345593,How much will you be able to impress others with your knowledge of the biology and chemistry of cooking?,course impresses others,"slider: 1 = Not at all, 7 = A lot",Utility Value
util1,-0.4635897435897416,How beneficial for your daily life is understanding the biology and chemistry of cooking?,course beneficial for daily life,"slider: 1=Not beneficial at all, 7 = Very beneficial",Utility Value
util2,-0.33752009184844933,How useful in everyday life and leisure time is knowledge of biology and chemistry of cooking?,course useful in everyday life,"slider: 1=Not at all useful, 7 = Very useful",Utility Value
util5,-0.4286295793758468,How important is it to you to get a good grade in this course for your academic career?,course important for academic career,"slider: 1=Not at all important, 7 = Very important",Utility Value
